Job Title,Job Description,Rating,Company Name,Location,Size,Type of ownership,Industry,Sector,Revenue
Senior Business Analyst (Digital),"#BetheChange

Coventry Building Society has grown into the second largest building society in the UK. Despite being a national Society, it keeps its local values and loyalty, and its caring family ethos.

The best way to judge a company is based on what the people who work there say. Our recent employee survey rated us Number 2 in the Sunday Times 25 Best Big Companies to Work For list. We offer not only fulfilling jobs and exciting career opportunities but a place where everyone can be long and feel proud to work. What makes us such a rich and progressive place to work is the huge variety of people that make up our workforce.

And of course, we don’t pretend that what you do for us is all there is to you. We want you to bring your whole self to work – parent, carer, artist, triathlete, introvert… whatever it is that makes you YOU. We offer the balance to make sure you have plenty of time to do the things you need or want to do alongside work, because we know that’s how you are able to be your best.

About You

We’re recruiting for a Senior Business Analyst with a proven delivery record, a digital specialist having worked in Digital transformation projects, responsible for deciding the analysis approach and delivering to the business needs across multiple technology domains, on large complex projects.

You will be excited by change and have experience of all areas of business analysis including early design discussions, shaping and scoping the project right through the project lifecycle, including implementation support.
You will have experience of taking the lead for business analysis on projects or programmes, with responsibility for the approach, critical assessment and quality of delivery. Experience of analysis, facilitation and business readiness on a wide variety of projects and large complex programmes is essential.
You will be seen as a role model in leading and motivating a team, having significant experience of leading and directing other analysts or business staff, and forecasting resource needs for the analysis work streams.
You will be able to build strong relationships with business stakeholders and other project delivery resources, with a clear focus on the successful delivery of the change objectives.
You understand the overarching business strategy and the impact that design decisions have on stakeholders. You’ll be able to articulate issues and design concepts clearly to stakeholders and project team members,
You will influence opinion at all levels of the organisation, listening, challenging and collaboratively solving to deliver both business and programme outcomes, and not afraid to challenge the status quo to find a better way of getting things done whilst influencing others to follow.
You will interpret and challenge business needs and work with technical teams and solution owners to understand how their solution can deliver against these requirements.
You will maintain a line of sight across multiple work streams or projects, you will be able to look for contradictions and gaps in proposed changes and make recommendations for solutions.

Essential Experience:

Professional business analysis qualifications and/or agile practitioner
Depth of knowledge relating to authentication technology on a Financial Services App (banking)
A brilliant problem solver, with an innovative attitude and the ability to deal with complex issues when they arise.

With wellbeing in mind and to comply with social distancing guidance, we are currently using digital platforms such as Zoom and Webex to conduct virtual interviews",4.2,"Coventry Building Society
4.2","Coventry, England",1001 to 5000 Employees,Company - Private,Lending,Finance,$500 million to $1 billion (USD)
Senior Business Analyst,"Project Description:

We are currently looking for an experienced Senior Business Analyst, with a technical background, ideally based in the Southampton / Bournemouth area to help us develop our UK business consultancy services team. You will work closely with our clients to enable real business change and with our internationally based technology delivery teams to position success. Work as a vital member of a client-facing, Agile cross-functional team to deliver exceptional software services.

Job Description / Tasks:
Help to develop our business analysis function
Collaborate with our clients at both operational and senior levels
If required to act as a product owner proxy in projects working with Scrum methodology to deliver software products on our client’s behalf
Capture the voice of the customer, defining clear business outcomes used to drive project documentation - including epics, user stories, workflows, functional and non-functional requirements
Discover complex business requirements — providing structure and clarity where there is ambiguity — and work with the Product teams to design and deliver best in class solutions
Support Project Managers and business owners in planning, managing, documenting and communicating timelines, tasks, issues, decisions, and risks
Assess the impact and feasibility of proposed solutions, evaluating alternatives and delivering solutions that accomplish client business outcomes
Creating, owning and refining well-formed requirements, user stories and artefacts that describe and detail new products, features and services based on feedback from the team, creating acceptance criteria with the software development team and acceptance on completion
Requirements / The ideal candidate will be:
Located in the Dorset / Hampshire area
Willingness to travel for client visits and internationally to our offices
5 to 10+ years of relevant experience working as a Business Analyst / Product Owner
Working on sizeable software development, digital transformation, managed services projects
Consulting experience in either Financial Services, Geospatial, HR, Automotive, Industry 4.0, Healthcare or Recruitment industries
Results oriented with the ability to effectively prioritise
Proactive and displays initiative; seeks out information and detailed answers, etc. without needing to be directed to do so
Successfully engages in multiple tasks/projects and deadlines simultaneously with limited supervision in a fast-paced environment
Experience with Agile methodology
Great communication skills in working with clients, leading analysis workshops and distributed technical teams
Experience using tools such as Jira, Confluence, BPMN software
Job Types: Full-time, Permanent

Salary: £45,000.00-£50,000.00 per year

Benefits:
Company events
Company pension
Life insurance
On-site parking
Private medical insurance
Schedule:
Monday to Friday
Experience:
Business Analyst: 5 years (Required)
Location:
Wimborne BH21 7UH (Required)
Work remotely:
Temporarily due to COVID-19",5.0,"Coventry Building Society
4.2","Coventry, England",201 to 500 Employees,Company - Private,-1,-1,Less than $1 million (USD)
Finance Analyst,"Northrop Grumman is involved in a range of future game-changing defence and security programmes. Whether this is as a partner in the F-35 Lightning II providing the aircraft with much of its situational awareness and communications, as a leading specialist in large intelligence datasets, as a pre-eminent provider of High Altitude Long Endurance unmanned aircraft systems, or as the ‘go to’ provider for truly open system architectures for battlespace networks, communications, and command and control, Northrop Grumman has an unparalleled reputation as an innovator.

The Account Finance Analyst is a key member of the Project Finance team who, in a financial capacity, support contracts of work and their customers within a rapidly changing, growing and fast passed environment.

The role will support the wider Business Management function by helping to ensure the accuracy and transparency of their portfolio’s financial performance including variance analysis, ensuring the data integrity within the ERPS, conduct profit/loss analysis, utilise financial tracking tools, assist accounts payable and accounts receivable, support pricing activities and engage with the closely linked co.

The role may support several contracts simultaneously (based on contract size and work experience), therefore, you must also be able to organize your workload effectively, be able to priorities and be proactive while supporting consistency with NGUK strategy, standards, policies and processes.

Different thinking for a Different world

The main tasks and responsibilities of this role are as follows:

Assist their Finance Business Partner with reporting into any Programme, Customer and internal Financial Reporting Models.
Understand all financial outputs required of Project Finance. E.g. EAC cycle, current back log and customer invoicing.
Provide regular independent status reports to their team on all financial outputs and support/own certain tasks to ensure outputs are achieved in a timely manner.
Maintain the ERP system in accordance with the latest financial data.
Incorporate contractual changes into control systems by staying aware of outstanding work against each contract in order to maintain realistic contract cost and schedule baselines.
Participate in process review and improvement exercises.
Undertake any other reasonable task as requested.
May develop and deliver presentations.
How you will make a difference
The successful candidate must be able to:
Independently demonstrates the skill and ability to understand and sort large quantities of data.
Must have strong analytical skills and a good eye for detail
Develop solutions to a variety of complex problems. May refer to established precedents and policies.
Plan schedules and arranges own activities in accomplishing objectives. Work is reviewed upon completion for adequacy in meeting objectives.
Have confidence to engage with various stakeholders around the organization.

Qualifications/Experience

AAT qualified or a business and finance back ground with a desire to have a career in Finance/Business Management
Good Excel skills
At least 2 year experience working within a Finance team or similar
Experience in a project environment preferred but not essential

Competency/Skill requirements

Aptitude for Business Management.
Good analytical skills.
Experienced with Microsoft Excel.
Good collaborative interpersonal skills for written, oral and face to face communications.
Capable of dealing with multiple stakeholders.
Other requirements
Travel requirements; some national travel may be required to attend team and customer meetings. Occasional international travel may be required
Clearance requirements; Applicants must be able to gain and maintain UK Government clearances

General Operations Department job description

Attend Business Management department meetings
Looking for flexibility? Talk to us at the application stage about what may be possible.",3.8,"Northrop Grumman UK
3.8","Cheltenham, England",10000+ Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Brand Protection Analyst - Law Graduate,"About INCOPRO:

INCOPRO is an emerging technology business, with market leading technology, delivering innovative solutions to enable brand protection online for some of the largest and most valuable brands in the world.

Continued growth in use of the Web has led to an explosion in brand abuse. The global market for counterfeit products is estimated at nearly one trillion dollars annually.

At INCOPRO, we are constantly striving to deliver products and associated services that enable businesses to protect themselves online our mission is to Make the Internet Better for Businesses and their Consumers.

INCOPRO's primary customer base is in-house intellectual property (IP) lawyers who are focused on enforcing against brand abuse and counterfeiting across the Internet. Our clients come from a wide range of industries including luxury brands, sports, entertainment, technology, consumer goods and more.

Reports to Brand Protection Team Leader

Purpose

Collect, collate, research and analyse data from a diverse range of sources, including Incopro's own systems, to produce high-quality, timely, relevant and actionable intelligence, information and research products. Provide enforcement services to protect client intellectual property rights in a professional and courteous manner.

Responsibilities
Work with large, complex datasets through the whole process of collection and cleaning through to end analysis;
Support the development and delivery of a suite of intelligence products to enforce the rights of Incopros clients, thinking laterally about the impact of wider events on their brands;
Develop relationships with clients to ensure that all enquiries are dealt with in a timely manner and feedback is provided on progress/action;
Develop relationships with platforms, hosts, registrars and other third parties to improve efficiency in dealing with takedown requests, finding new and innovative ways to better protect client interests;
Keep knowledge current by participating in educational opportunities, reading professional publications and online resources, and maintaining personal networks;
Document processes and maintain accurate records of research and analysis undertaken;
Provide statistics and other information, including sales and marketing material;
Protect company assets by keeping information confidential;
Undertake other reasonable tasks as directed and necessary for the running of the company.
Qualifications, skills and experience

Essential
Bachelors degree or equivalent qualification in Law or relevant work experience for the role;
Excellent English language communication skills, both verbal and written, with the ability to communicate effectively with a range of audiences;
Good working knowledge of Microsoft Office products;
Ability to demonstrate objectivity, sound reasoning, and delivery of commercial solutions;
Ability to conduct online research and assess, aggregate and analyse data from a variety of sources, presenting findings in a clear and understandable way;
Experience in delivering reports and presentations to a high standard.
Desirable
1+ years professional experience in a legal role;
Anti-piracy, brand protection or intellectual property experience;
Knowledge of internet technologies and networks;
Familiarity with intellectual property law and grey market issues;
Additional Language.
Personal characteristics
Self-motivated with the ability to prioritise and meet deadlines;
Proven ability to work both independently and in a team environment;
Good analytical and problem solving skills with keen attention to detail;
Good interpersonal skills with a collaborative approach and willingness to compromise to find solutions;
A results-oriented individual who thrives working in a fast-paced environment and maintains a calm approach and sound judgement when operating under pressure;
Highest levels of integrity and ability to handle sensitive/confidential information appropriately;
Salary:

Competitive and appropriate for the relevant experience of the applicant.

Notification:

This Job Description is intended to describe the general nature and level of work being performed by people assigned to this job and is not considered an exhaustive list of all responsibilities, duties and required skills. This Job Description does not constitute an offer of employment. INCOPRO is an Equal Opportunity Employer

Powered by JazzHR",3.4,"Incopro
3.4","Cardiff, Wales",51 to 200 Employees,Company - Private,Internet,Information Technology,$5 to $10 million (USD)
Lead Systems Engineer (Intelligence and Security),"Introduction:
Boeing Defence UK Ltd have an exciting opportunity for a Lead Systems Engineer within their Cyber, Intelligence and Analytics team. The role will involve working directly with a National Security customer to support and influence the shape of solutions that are of national importance. As a Systems Engineer you will be at the leading edge of our operational work, collaborating closely in multi-function teams to design and assure solutions to their technology, process or service based problems. This role can be based in either Cheltenham or Central London.
The Team:
As a successful candidate you will join an established Boeing team of like-minded peers, from all business Functions, who will support your development in your new role, to make sure you are successful and in your career with the Boeing Company. Though very much part of the Boeing team, you will also find yourself in the privileged position of working directly with our customer, at the core of an integrated programme or project team, addressing problems and opportunities of importance to the nation. Whether you are looking for rapid career growth, stability within a supportive team, or intellectual challenge, we will do our utmost to develop you to ensure you have the opportunity to enjoy a full career with the Boeing Company.
At Boeing we’re committed to rewarding excellence and fostering an inclusive environment where team members are seen, heard, valued, respected and fully engaged. This is particularly relevant in the Government Services Team which encapsulates all of the advantages of being a small agile Business Unit but with the security and opportunities of working for one of the world’s largest corporations.
The Role:
As a Principal Boeing Systems Engineer you will be working very closely with our National Security customer to help them design and assure solutions to complex problems and to deliver change while it is relevant to national issues. This will involve working directly with the operational practitioner, supported by a multi-function Boeing team of Business Analysts, Project Managers, Security and Data Analytic experts, to understand, define, model and capture the design for change and to manage the verification and validation of the final solution.
To achieve this the ideal candidate will expected to:
Own the engineering process across the full extent of the “Systems Engineering V” and drive excellence into all stages from Requirements elicitation and capture to solution validation
Work confidently in the technology space with Agile practices and beside Business Analysts as they define the required user experiences (UX), the writing of user stories and the sketching of wireframes.
Undertake stakeholder engagement alone and to own relationships with the Business Client
Build relationships with customers and other members of the team and influence the direction of projects to ensure the desired aims are achieved and underpinned by Engineering Excellence
Work collaboratively with third parties to deliver effective change while managing changing user needs within a project life cycle
Provide mentoring and guidance to junior engineers within the programme, project or wider team
Preferred Qualifications:
Experience in Model Based Systems Engineering
Degree in Engineering, Software or wider STEM discipline OR significant experience working in Engineering Design supported by a recognised qualification
Problem solving skills
Excellent interpersonal skills
Experience in Model Based Systems Engineering (such as MODAF/Archimate CCISSP)
Knowledge of Agile Methodologies, Scrum Management, Epic and Sprint, MPV Management
Experience in Cyber, Security, Policing, Commercial Cyber Solutions
Work Authorisation: This requisition is for a locally hired position in the UK. Candidates must have current legal authorisation to work immediately in the United Kingdom. Boeing will not attempt to obtain Immigration and labour sponsorship for any applicants. Benefits and pay are determined at the local level and are not part of Boeing U.S. based payroll.
Security Clearance: This position requires the ability to obtain a UK Security Clearance for which the UK Government requires UK citizenship
Visa Status and Relocation: This requisition is for a locally hired position in the UK. Relocation benefits are not available. Successful candidates must have existing / ability to obtain legal authorisation to work in the UK for continued employment.",3.7,"BOEING
3.7","Bristol, England",10000+ Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Senior Threat Hunting Analyst,"A Senior Threat Hunting Analyst is required by a prestigious organisation in their Malvern offices.

As the Senior Threat Hunting Analyst you will develop and lead the new Threat Hunting capability at the heart of the threat hunting service. This is part of a portfolio of cyber security services provided by the Enterprise Cyber business to their internal and external clients. You will proactively search for and detect advanced persistent threats, develop and lead a team to do this including training and coaching junior cyber analysts, developing the companies threat hunting capability

What's in it for the Senior Threat Hunting Analyst?

Working for a recognised company with an excellent reputation
Excellent benefits package including contributory pension, Life Cover, income protection and much more
Excellent Salary
Working in a company who invest in their team (including certifications & subscriptions)
Excellent Career Development opportunities
You will be working within industry leading teams and people

Skills for the Senior Threat Hunting Analyst

Hold current SC clearance and be willing to go through DV
Proactively search and detect advanced persistent attacks underway on a system
Experience in alert monitoring, incident response and technical forensics
Strong understanding of network and endpoint characteristics, and normal behaviour thereof
Knowledge of relevant frameworks such as MITRE ATT&CK, GPG-13 and CIS 20
SQL queries, REGEX expressions and PowerShell/bash scripts
Proven track record of working in an information security role in an operational environment
Experience of utilising Endpoint Detection and Response (EDR) tools
Security Information and Event Management (SIEM) experience
Ability to lead, and work effectively with, individuals with varying levels of experience
Experience utilising threat hunting tools and big data platforms

Company
One of the UK leading partners in Intelligence and National Security, Science and Technology that works on cutting edge research projects. A global organisation primarily established in the UK and the US, currently growing in international markets. They provide a wide range of services, such as technical, scientific and engineering expertise. This particular site provides scientific research and development and applies this to the commercial world making it viable for sale.

Company Culture
Currently staffed with problem solvers and analytically minded individuals, they pride themselves on being able to think outside the box. Passionate about technology and actively self-learn outside of core working hours, they are seen as some of the best minds in the UK.

If you have the essential skills and you are a Senior Threat Hunting Analyst wanting to work for a company who invest in their technology and staff, then please apply via the link.

IND_PERM_HIGH",3.3,"experisuk
3.3","Great Malvern, England",5001 to 10000 Employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Finance Analyst,"We‘re still considering our shortlist. Suitably experienced candidates invited to apply ASAP.

Finance Analyst - Yeovil - Circa: £25,000

Growing a successful business is a game of tactics. Learning and understanding your customer habits and their future trends, understanding where profitable margins can be gained and where they are at risk, and of course, considering your position against your competitors. If you’re an experienced assistant accountant or finance analyst with a real interest in collating this type of business intelligence, you might be reading about your next role.

Trial Balance Consulting have been assigned by a long established and highly successful B2C distribution services business who seek to recruit an experienced Finance Analyst / Finance Business Partner to join their busy accounting team. This is a pivotal role which works closely with the Financial Controller and provides strategic business insight and forecasting. It’s a role that calls for accurate financial analysis across all departments of the business from sales to procurement.

We’re seeking an experienced finance analyst, or a commercially astute assistant accountant with a strong desire to extract strategic, complex business information. You will need to be AAT qualified as a minimum, ideally studying towards a professional qualification. Hopefully you’ll have gained your experience within a relevant sector; manufacturing, construction, retail or services. This is a business that gets the most out of modern technology and a high degree of competency in MS Excel and ideally (though not essentially), modern SAGE based accounting platforms.

The rewards within the business are high. The company has not been adversely affected by the recent pandemic and their sights have been set on growth rather than survival. For further details and to apply, please contact Elle Benjamin quoting reference EB6954 ASAP.

IND123",-1,Trial Balance Consulting,"Yeovil, England",-1,Subsidiary or Business Segment,-1,-1,-1
Programme Finance Analyst 6 months Fixed Term,"Description

Job Description:

Leidos are a growing company delivering innovative technology and solutions focused on safeguarding critical capabilities and transformation in frontline services, our work in the United Kingdom includes addressing some of the most complex problems in defence, healthcare, government, safety and security, and transportation.

https://www.leidos.com/company/global/uk-europe

We are now looking for an experienced Finance Analyst to join our team for a 6 months Fixed Term project.

Role Overview

Reporting to the Division Finance Manager the Programme Financial Analyst is responsible for providing Programme Financial Control and ensuring the integrity of the financials on the programmes. This role will be primarily responsible for supporting our programme teams in the National Security and Defence Division based in the South East of England.

Duties & Responsibilities

Be a key member of Programme Management Team and act as a Finance Business Partner
Provide highest level of customer service to all customers and stakeholders
Develop, track and update programme baseline including tracking actual costs against baseline, development and overall management of programme Estimate At Complete (EAC)
Analysis of programme actuals for accuracy, identifying & correcting errors, and communicating issues to Programme Management to prevent future errors
Responsibility for producing programme financial customer deliverables
Supporting financial presentation for programme or operational reviews
Support pricing of new business opportunities when required
Performing both short and long term forecasting for corporate metrics (Awards, Revenue, and Operating Income) at the programme level. Providing commentary on variances and of any financial Risks & Opportunities against financial forecast
Accountable for programme billing, cash collection, analysis and clearing of unbilled receivables
Ownership of monthly closing process, validating awards/bookings, backlog, revenue & operating income
Provide excellent adhoc support to a wide variety of stakeholders both within the finance leadership team, and within wider operational teams.

The candidate will be expected to work on multiple tasks simultaneously and to show a degree of flexibility in working hours when required to meet project and finance deadlines. The successful candidate will take ownership of decisions made.

Skills Required

Project/programme accounting experience
Strong analytical and problem solving skills
Recognised accounting qualification, or studying towards qualification e.g. CIMA
Team player but able to work independently and proactively
Good time management with the ability to achieve deadlines
Ability to work effectively across organisations and with multiple locations
Capable of operating to tight schedules in a demanding environment

Desirable Skills

Pricing/Cost Estimating experience
Proficient in Microsoft Excel
Demonstrated ability to work proactively to complete work assignments
Organised, thorough, with attention to detail and good analytical skills

WHAT DO WE DO FOR YOU?

We offer meaningful and engaging careers, a collaborative culture, and support for your career goals, all while nurturing a healthy work-life balance.

We provide an employment package that attracts, develops and retains only the best in talent.

Our reward scheme includes:

Contributory Pension Scheme
Private Medical Insurance
33 days Annual Leave (including public and privilege holidays)
Access to Flexible benefits (including life assurance, health schemes, and cycle to work scheme)

External Referral Bonus:
Ineligible

Potential for Telework:
No

Clearance Level Required:
Other Clearance

Travel:
Yes, 10% of the time

Scheduled Weekly Hours:
5
Shift:
Day

Requisition Category:
Professional

Job Family:
Program Financial Control

Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company’s 38,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Va., Leidos reported annual revenues of approximately $11.09 billion for the fiscal year ended January 3, 2020. For more information, visit www.Leidos.com.

Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.

Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.

All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.",3.7,"Leidos
3.7","Whiteley, England",10000+ Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Business Intelligence Data Analyst,"Our business is underpinned by our three values of *Personal, Partnering* and *Progressive*. Our personal style is the foundation of our relationship with our customers and this approach brings us the opportunity to act as trusted, long-term partners. It is this long-term approach which builds our customer loyalty and allows us to progress forward as a business. Our success is not just about what we do, it’s about how we do it too.

Our aim is to live and breathe a culture where all individuals, from all backgrounds feel at home and comfortable to be their true selves at work. At Propel, we’re small enough to care, and this means giving every single member of our family a voice to contribute towards our progressive vision.
The Role*
As Data Analyst you will be responsible for providing management information, insightful analytics and decision support to various department across the business. You will also be responsible for designing, coding, debugging, testing, documenting, and supporting business intelligence reports and solutions consistent with best practice and defined standards to deliver the highest possible value to the business.

You will work with stakeholders at all levels to develop detailed business requirements, conduct gap analyses and create functional designs in order to convert data into insight, provide analysis and commentary and to identify trends and evaluate the success of business initiatives that will lead to further informed business decisions. When required you will also need to help guide users through analytical data processing and the appropriate and effective use of data.
Responsibilities*
· Provision of in-depth and insightful analytics to assist in identifying growth/diversification opportunities from new business to arrears management

· Development and maintenance of reporting and dashboards

· Analysis of portfolio trends and making recommendations to improve relevant business processes.

· Support of projects/initiatives inc identification and communication of risks and issues to the relevant leadership.

· Contribute to continuous improvements in data quality, ensure appropriate data is being captured, investigating any data issues that may occur

· Work with stakeholders to identify, communicate and resolve data gaps impacting the fulfilment of the business’s functional requirements. Work with senior members of the team if needed in the identification, evaluation, and documentation of potential data sources in support of requirements.

· Support and execute change management activities with regards to data and its surrounding processes.

· Work within and across the business to understand the business’s functional and data requirements.

· Ensure constant compliance with standards and regulations, that data is handled in line with correct data governance processes and to advise and effect change where needed.

· Liaise with data warehouse developers to effectively convey requirements and support data acquisition processes as needed.

· Any other duties as deemed fit for the proper execution of the role responsibilities and duties as assigned by the Head of BI & Analytics.

· Identify and implement opportunities to automate repetitive processes with appropriate approaches/tools
Required Skills & Experience: *
· Ability to multitask, prioritise workload, and remain functional under pressure, and aggressive timelines whilst meeting tight deadlines

· A degree in a related field (i.e. Data Science, IT, Economics, Statistics, Maths), is desirable although as an alternative at least 2-3 years in a junior analyst position, preferably working as an analyst in a fast-paced and dynamic business setting.

· A strong background in T-SQL able to create efficient and reusable SQL code meant for the improvement, manipulation, and analysis of data.

· A good understanding of key IT business systems, reporting and analytics and data warehousing (dimensional modelling) principles.

· A strong working knowledge of reporting/analytical tools such as PowerBI, Microsoft SSRS, Microsoft SSAS, SAS, Tableau or similar.

· Very good skills in Microsoft office particularly Word, Excel and PowerPoint

· Very good analytical skills also capable of sourcing data from numerous sources and transforming it into actionable insight

· Exceptional attention to detail. Possessing creative and innovative problem-solving skills

· Able to self-motivate and be proactive and demonstrate calmness during busy periods.

· A natural ability to get along with people and establish strong and meaningful relationships with others. Comfortable at engaging with stakeholders at all levels of the business.

· Excellent written and verbal communication skills demonstrated by the need to capture requirements, keep stakeholders updated and in keeping the team informed

· Create and present reports/analysis that must be clear, convincing, informative, engaging, unambiguous, and uniquely tailored to suit different audiences as needed.

· A proactive approach to improving the use of data and analytics. From simple ad-hoc reporting to complex data analysis

Propel Finance Group is very proud to be accredited by Stonewall as an employer actively working to promote inclusion in the workplace.

Your data will be processed for legitimate business purposes in line with our Data Privacy Policy available on request
Benefits: *
Casual dress
Private medical/dental insurance
Wellness programmes
Education reimbursement
On-site parking
Life insurance
Company events & social hours
Subsidised gym membership
Job Types: Full-time, Permanent

Schedule:
Monday to Friday
Work remotely:
Temporarily due to COVID-19",5.0,"Propel Finance
5.0","Newport, Newport, Wales",Unknown,Company - Private,-1,-1,Less than $1 million (USD)
Head of Business Intelligence,"The Role*
We are looking for a confident and enthusiastic leader, who is data driven and passionate about the latest analytical developments and best practise. You will have a thirst for continuous improvement, to see where processes can be improved and work with the Team to achieve organisational plans and systems that work for everyone.

Reporting to the CIO, you will

• Lead the business intelligence function for Utility Point Ltd, working closely with colleagues and senior leadership team across the business.

• Take responsibility of all stages of analytics across the business.

• Lead a team that produces a broad range of analysis covering areas such as operational performance, KPI performance, detailed business performance / forecasting models and regulatory reporting

• Prioritise and manage the Customer BI roadmap, communicating the team’s progress.

• Have an understanding of the challenges that face your team, including the complexity of data mining and analysis, with ability to proactively resolve or propose solutions.
Who You Are?*
The Head of Business Intelligence will have experience or skills in the following:

• 3 year’s minimum experience in a Senior Role within Business Intelligence, preferably with a utility / energy company.

• Experience of managing and leading a business analyst team.

• Establish and grow best practices for KPI/Metrics definition.

• Exposure of internal and external executive stakeholder management

• Proficient in data-related fields, data security, data mining and the design and architecture of databases and applications via SQL, SSIS, SSRS, ETL, Datawarehouse or similar.

• Desire to work in Business Intelligence and Analytics within a Utility Company

• Project management experience

• Confident communication skills

• Analytical and problem-solving skills

• Strong organisational skills and ability to prioritise tasks.

• Ability to work well under pressure, working accurately with attention to detail, in tight deadlines.

• Advanced Excel knowledge

• Strong team player
Benefits: *
• £50,000 plus salary per annum, depending on experience

• Excellent career progression opportunities

• 33 days annual leave (including bank holidays), plus your Birthday off on us!

• Flexible working hours

• Employee Assistance Programme

• Subsidised parking near to our offices

• Excellent employer pension contribution

• Regular team activities including nights out/theme park visits

• Staff discounts for various entertainment, shops, restaurants etc

• Great working environment with view over Poole Harbour, Poole Park and the Purbecks.

• Dress down Fridays

• Free tea/coffee and soft drinks
What’s next?*
Are you the spark we are looking for? If so, we would love to hear from you…

To ensure your details reach the correct person, please email us with a copy of your CV and a brief introductory email.
No recruitment agencies please.*
Utility Point is committed to promoting equal opportunities in employment. Any job applicants will receive equal treatment in the recruitment process and Utility Point will not discriminate unlawfully. Recruitment decisions are always based on merit, abilities and qualifications.

Job Types: Full-time, Permanent

Salary: From £50,000.00 per year

Benefits:
Casual dress
Company events
Company pension
Discounted or free food
Employee discount
Flexible schedule
Gym membership
On-site parking
Sick pay
Store discounts
Wellness programmes
Work from home
Schedule:
8 hour shift
Monday to Friday
Experience:
Senior Business Intelligence Management: 3 years (Preferred)",-1,Utility Point,"Poole, England",-1,Company - Private,-1,-1,-1
